hrm_budget_gb,hit_rate,miss_rate,promotions,demotions,working_set_gb,total_model_gb,effective_bw_reduction,speedup_vs_hbm,policy,latency_proxy,replica_count,bypass_count,remap_count,occupancy_skew,model
0.05,0.0,1.0,0,0,0.3049650192260742,0.3049650192260742,0.0,1.0,srmic,,0,0,0,,facebook/opt-125m
0.1,0.16333333333333333,0.8366666666666667,286,257,0.3049650192260742,0.3049650192260742,16.333333333333332,1.1396011396011396,srmic,,0,0,0,,facebook/opt-125m
0.2,0.30333333333333334,0.6966666666666667,210,174,0.3049650192260742,0.3049650192260742,30.333333333333336,1.2944983818770226,srmic,,0,0,0,,facebook/opt-125m
0.05,0.23,0.77,101,56,0.3049650192260742,0.3049650192260742,23.0,1.2084592145015105,x2_admission,4768,0,361,31,15.819595889693314,facebook/opt-125m
0.1,0.3933333333333333,0.6066666666666667,86,41,0.3049650192260742,0.3049650192260742,39.33333333333333,1.4184397163120568,x2_admission,4240,0,278,12,7.909793230238003,facebook/opt-125m
0.2,0.555,0.44499999999999995,91,39,0.3049650192260742,0.3049650192260742,55.50000000000001,1.7130620985010707,x2_admission,3442,0,176,12,3.9336162554233396,facebook/opt-125m
0.05,0.22666666666666666,0.7733333333333333,101,77,0.3049650192260742,0.3049650192260742,22.666666666666664,1.2048192771084336,x2_full,4780,40,363,31,21.671904676618254,facebook/opt-125m
0.1,0.35,0.65,87,83,0.3049650192260742,0.3049650192260742,35.0,1.3559322033898307,x2_full,4392,60,303,13,9.379449927657888,facebook/opt-125m
0.2,0.465,0.5349999999999999,97,90,0.3049650192260742,0.3049650192260742,46.5,1.5355086372360844,x2_full,3832,64,224,17,3.7890557232022086,facebook/opt-125m
