hrm_budget_gb,hit_rate,miss_rate,promotions,demotions,working_set_gb,total_model_gb,effective_bw_reduction,speedup_vs_hbm,model
1.0,0.05510204081632653,0.9448979591836735,186,171,2.6337890625,2.6337890625,5.510204081632653,1.0431080361894625,EleutherAI/pythia-1.4b
4.0,0.5142857142857142,0.48571428571428577,456,375,2.6337890625,2.6337890625,51.42857142857142,1.627906976744186,EleutherAI/pythia-1.4b
7.0,0.7989795918367347,0.20102040816326527,177,83,2.6337890625,2.6337890625,79.89795918367348,2.495225970719287,EleutherAI/pythia-1.4b
1.0,0.0,1.0,0,0,12.782730102539062,12.782730102539062,0.0,1.0,facebook/opt-6.7b
4.0,0.0876923076923077,0.9123076923076923,1119,1067,12.782730102539062,12.782730102539062,8.76923076923077,1.070399341292713,facebook/opt-6.7b
7.0,0.10153846153846154,0.8984615384615384,1092,1033,12.782730102539062,12.782730102539062,10.153846153846153,1.0824313072439635,facebook/opt-6.7b
