hrm_budget_gb,hit_rate,miss_rate,promotions,demotions,working_set_gb,total_model_gb,effective_bw_reduction,speedup_vs_hbm
0.5,0.0,1.0,640,624,13.48828125,13.48828125,0.0,1.0
1.0,0.007964601769911504,0.9920353982300885,622,598,13.48828125,13.48828125,0.7964601769911505,1.0060093478744716
2.0,0.01991150442477876,0.9800884955752213,1235,1192,13.48828125,13.48828125,1.991150442477876,1.0151600224592925
3.0,0.06371681415929203,0.9362831858407079,1136,1083,13.48828125,13.48828125,6.371681415929204,1.050185873605948
4.0,0.06371681415929203,0.9362831858407079,1136,1073,13.48828125,13.48828125,6.371681415929204,1.050185873605948
5.0,0.0915929203539823,0.9084070796460177,1073,1003,13.48828125,13.48828125,9.159292035398229,1.0737617294215465
6.0,0.1314159292035398,0.8685840707964602,983,910,13.48828125,13.48828125,13.14159292035398,1.109338569149589
7.0,0.16327433628318583,0.8367256637168141,1871,1768,13.48828125,13.48828125,16.327433628318584,1.1395436783058115
8.0,0.17123893805309734,0.8287610619469027,1853,1737,13.48828125,13.48828125,17.123893805309734,1.1473537250920165
10.0,0.24292035398230089,0.7570796460176992,1691,1554,13.48828125,13.48828125,24.292035398230087,1.2227783038008928
