hrm_budget_gb,hit_rate,miss_rate,promotions,demotions,working_set_gb,total_model_gb,effective_bw_reduction,speedup_vs_hbm,policy,latency_proxy,replica_count,bypass_count,remap_count,occupancy_skew,model
0.1,0.06372549019607843,0.9362745098039216,511,477,1.17364501953125,1.17364501953125,6.372549019607843,1.05019305019305,srmic,,0,0,0,,Qwen/Qwen2.5-0.5B-Instruct
0.2,0.11274509803921569,0.8872549019607843,461,414,1.17364501953125,1.17364501953125,11.27450980392157,1.0923694779116466,srmic,,0,0,0,,Qwen/Qwen2.5-0.5B-Instruct
0.4,0.14705882352941177,0.8529411764705882,426,374,1.17364501953125,1.17364501953125,14.705882352941178,1.1239669421487606,srmic,,0,0,0,,Qwen/Qwen2.5-0.5B-Instruct
0.1,0.19117647058823528,0.8088235294117647,260,194,1.17364501953125,1.17364501953125,19.11764705882353,1.167381974248927,x2_admission,7910,0,565,104,27.747502712400685,Qwen/Qwen2.5-0.5B-Instruct
0.2,0.29215686274509806,0.7078431372549019,281,195,1.17364501953125,1.17364501953125,29.215686274509807,1.28060263653484,x2_admission,7058,0,441,60,13.85456976830474,Qwen/Qwen2.5-0.5B-Instruct
0.4,0.3205882352941177,0.6794117647058824,294,213,1.17364501953125,1.17364501953125,32.05882352941177,1.3165537270087124,x2_admission,6778,0,399,55,6.903105447730122,Qwen/Qwen2.5-0.5B-Instruct
0.1,0.15980392156862744,0.8401960784313726,272,272,1.17364501953125,1.17364501953125,15.980392156862743,1.1361737677527153,x2_full,8086,64,585,112,33.20426214511362,Qwen/Qwen2.5-0.5B-Instruct
0.2,0.24215686274509804,0.7578431372549019,258,257,1.17364501953125,1.17364501953125,24.215686274509803,1.2219227313566936,x2_full,7532,64,515,66,21.08740252106872,Qwen/Qwen2.5-0.5B-Instruct
0.4,0.2676470588235294,0.7323529411764707,285,285,1.17364501953125,1.17364501953125,26.764705882352942,1.2511499540018398,x2_full,7232,64,462,65,9.506349765092525,Qwen/Qwen2.5-0.5B-Instruct
