hrm_budget_gb,hit_rate,miss_rate,promotions,demotions,working_set_gb,total_model_gb,effective_bw_reduction,speedup_vs_hbm
0.5,0.0,1.0,0,0,12.782730102539062,12.782730102539062,0.0,1.0
1.0,0.0,1.0,0,0,12.782730102539062,12.782730102539062,0.0,1.0
2.0,0.023076923076923078,0.9769230769230769,1245,1205,12.782730102539062,12.782730102539062,2.307692307692308,1.0176125244618395
3.0,0.023076923076923078,0.9769230769230769,1245,1205,12.782730102539062,12.782730102539062,2.307692307692308,1.0176125244618395
4.0,0.0876923076923077,0.9123076923076923,1119,1056,12.782730102539062,12.782730102539062,8.76923076923077,1.070399341292713
5.0,0.0876923076923077,0.9123076923076923,1119,1056,12.782730102539062,12.782730102539062,8.76923076923077,1.070399341292713
6.0,0.15692307692307692,0.8430769230769231,984,908,12.782730102539062,12.782730102539062,15.692307692307692,1.1333914559721012
7.0,0.15692307692307692,0.8430769230769231,984,908,12.782730102539062,12.782730102539062,15.692307692307692,1.1333914559721012
8.0,0.24461538461538462,0.7553846153846153,1453,1350,12.782730102539062,12.782730102539062,24.461538461538463,1.2246820536975978
10.0,0.33692307692307694,0.6630769230769231,1273,1145,12.782730102539062,12.782730102539062,33.69230769230769,1.3381369016984046
