hrm_budget_gb,hit_rate,miss_rate,promotions,demotions,working_set_gb,total_model_gb,effective_bw_reduction,speedup_vs_hbm
0.1,0.0,1.0,0,0,2.6413650512695312,2.6413650512695312,0.0,1.0
0.25,0.0,1.0,0,0,2.6413650512695312,2.6413650512695312,0.0,1.0
0.5,0.047142857142857146,0.9528571428571428,8907,8875,2.6413650512695312,2.6413650512695312,4.714285714285714,1.036653091447612
0.75,0.047142857142857146,0.9528571428571428,9007,8975,2.6413650512695312,2.6413650512695312,4.714285714285714,1.036653091447612
1.0,0.14142857142857143,0.8585714285714285,7621,7573,2.6413650512695312,2.6413650512695312,14.142857142857142,1.1186576108669597
1.5,0.24244897959183673,0.7575510204081632,6136,6081,2.6413650512695312,2.6413650512695312,24.24489795918367,1.2222499376403093
2.0,0.30979591836734693,0.6902040816326531,9946,9864,2.6413650512695312,2.6413650512695312,30.979591836734695,1.3026718064601885
3.0,0.5724489795918367,0.4275510204081633,6085,5968,2.6413650512695312,2.6413650512695312,57.244897959183675,1.7523468931604826
4.0,0.66,0.33999999999999997,4798,4671,2.6413650512695312,2.6413650512695312,66.0,1.9801980198019802
