label,total_accesses,hits,hit_rate,thrash_events,remap_count,occupancy_skew,latency_proxy
X1_Baseline,5120,4826,0.942578125,0,0,0.25530713303340036,11416
X2_Cons_0.90,5120,4826,0.942578125,0,0,0.25530713303340036,11416
X2_Aggr_0.70,5120,4794,0.936328125,0,16,0.2540489382719585,11544
