hrm_budget_gb,hit_rate,miss_rate,promotions,demotions,working_set_gb,total_model_gb,effective_bw_reduction,speedup_vs_hbm,policy,latency_proxy,replica_count,bypass_count,remap_count,occupancy_skew,model
0.1,0.0,1.0,16,15,0.6642494201660156,0.6642494201660156,0.0,1.0,srmic,,0,0,0,,facebook/opt-350m
0.2,0.04697986577181208,0.9530201342281879,728,692,0.6642494201660156,0.6642494201660156,4.697986577181208,1.0365217391304349,srmic,,0,0,0,,facebook/opt-350m
0.4,0.21140939597315436,0.7885906040268457,540,481,0.6642494201660156,0.6642494201660156,21.140939597315437,1.1884346959122631,srmic,,0,0,0,,facebook/opt-350m
0.1,0.08892617449664429,0.9110738255033557,283,219,0.6642494201660156,0.6642494201660156,8.89261744966443,1.0714606741573034,x2_admission,10152,0,803,131,6.2276550414448195,facebook/opt-350m
0.2,0.27181208053691275,0.7281879194630873,174,110,0.6642494201660156,0.6642494201660156,27.181208053691275,1.256059009483667,x2_admission,8926,0,694,29,3.5100933076228307,facebook/opt-350m
0.4,0.41191275167785235,0.5880872483221476,241,148,0.6642494201660156,0.6642494201660156,41.191275167785236,1.447040971168437,x2_admission,7634,0,460,40,1.673342970087346,facebook/opt-350m
0.1,0.07885906040268456,0.9211409395973155,271,271,0.6642494201660156,0.6642494201660156,7.885906040268456,1.062862238074008,x2_full,10272,64,827,128,6.957152180758601,facebook/opt-350m
0.2,0.19714765100671142,0.8028523489932886,179,179,0.6642494201660156,0.6642494201660156,19.71476510067114,1.1735171055870046,x2_full,9614,64,778,32,3.7920647137760795,facebook/opt-350m
0.4,0.39093959731543626,0.6090604026845637,226,188,0.6642494201660156,0.6642494201660156,39.09395973154363,1.4148367952522254,x2_full,8046,64,500,48,1.5858868712221548,facebook/opt-350m
