hrm_budget_gb,hit_rate,miss_rate,promotions,demotions,working_set_gb,total_model_gb,effective_bw_reduction,speedup_vs_hbm,policy,latency_proxy,replica_count,bypass_count,remap_count,occupancy_skew,model
0.2,0.0,1.0,0,0,2.6413650512695312,2.6413650512695312,0.0,1.0,srmic,,0,0,0,,facebook/opt-1.3b
0.4,0.0,1.0,0,0,2.6413650512695312,2.6413650512695312,0.0,1.0,srmic,,0,0,0,,facebook/opt-1.3b
0.8,0.045351473922902494,0.9546485260770975,542,507,2.6413650512695312,2.6413650512695312,4.535147392290249,1.0352112676056338,srmic,,0,0,0,,facebook/opt-1.3b
0.2,0.07709750566893424,0.9229024943310657,274,211,2.6413650512695312,2.6413650512695312,7.709750566893423,1.0613718411552346,x2_admission,7316,0,540,130,12.482873210172208,facebook/opt-1.3b
0.4,0.07709750566893424,0.9229024943310657,274,211,2.6413650512695312,2.6413650512695312,7.709750566893423,1.0613718411552346,x2_admission,7316,0,540,130,6.241436605086104,facebook/opt-1.3b
0.8,0.25170068027210885,0.7482993197278911,163,102,2.6413650512695312,2.6413650512695312,25.170068027210885,1.2327044025157232,x2_admission,6598,0,497,25,2.6090666714629034,facebook/opt-1.3b
0.2,0.07029478458049887,0.9297052154195011,266,266,2.6413650512695312,2.6413650512695312,7.029478458049887,1.0556552962298025,x2_full,7384,64,554,126,13.935353684198278,facebook/opt-1.3b
0.4,0.07029478458049887,0.9297052154195011,266,266,2.6413650512695312,2.6413650512695312,7.029478458049887,1.0556552962298025,x2_full,7384,64,554,126,6.967676842099139,facebook/opt-1.3b
0.8,0.21768707482993196,0.782312925170068,164,160,2.6413650512695312,2.6413650512695312,21.768707482993197,1.1951219512195121,x2_full,6834,60,526,26,2.714384664183476,facebook/opt-1.3b
