hrm_budget_gb,hit_rate,miss_rate,promotions,demotions,working_set_gb,total_model_gb,effective_bw_reduction,speedup_vs_hbm,policy,latency_proxy,replica_count,bypass_count,remap_count,occupancy_skew,model
0.2,0.045454545454545456,0.9545454545454546,188,164,3.309814453125,3.309814453125,4.545454545454546,1.0352941176470587,srmic,,0,0,0,,Qwen/Qwen2.5-1.5B-Instruct
0.4,0.056818181818181816,0.9431818181818182,403,356,3.309814453125,3.309814453125,5.681818181818182,1.0445103857566764,srmic,,0,0,0,,Qwen/Qwen2.5-1.5B-Instruct
0.8,0.10606060606060606,0.8939393939393939,364,305,3.309814453125,3.309814453125,10.606060606060606,1.0864197530864197,srmic,,0,0,0,,Qwen/Qwen2.5-1.5B-Instruct
0.2,0.10606060606060606,0.8939393939393939,527,455,3.309814453125,3.309814453125,10.606060606060606,1.0864197530864197,x2_admission,5256,0,181,141,23.547010146619993,Qwen/Qwen2.5-1.5B-Instruct
0.4,0.16035353535353536,0.8396464646464646,357,276,3.309814453125,3.309814453125,16.035353535353536,1.1367061356297092,x2_admission,5678,0,308,98,11.743488317300207,Qwen/Qwen2.5-1.5B-Instruct
0.8,0.19065656565656566,0.8093434343434344,362,276,3.309814453125,3.309814453125,19.065656565656568,1.1668508287292818,x2_admission,5462,0,279,95,5.823782475416272,Qwen/Qwen2.5-1.5B-Instruct
0.2,0.10606060606060606,0.8939393939393939,527,455,3.309814453125,3.309814453125,10.606060606060606,1.0864197530864197,x2_full,5256,0,181,141,23.547010146619993,Qwen/Qwen2.5-1.5B-Instruct
0.4,0.16035353535353536,0.8396464646464646,357,276,3.309814453125,3.309814453125,16.035353535353536,1.1367061356297092,x2_full,5678,0,308,98,11.743488317300207,Qwen/Qwen2.5-1.5B-Instruct
0.8,0.19065656565656566,0.8093434343434344,362,276,3.309814453125,3.309814453125,19.065656565656568,1.1668508287292818,x2_full,5462,0,279,95,5.823782475416272,Qwen/Qwen2.5-1.5B-Instruct
