label,total_accesses,hit_rate,bypass_rate,thrash_events,remap_count,bypass_count,occupancy_skew,latency_proxy,regret_prevented
X1_Baseline,12800,0.961015625,0.0,243,0,0,0.26185718120687346,27596,0.0
X2_Remap_Only,12800,0.978984375,0.0,10,8,0,0.24735385471700128,26676,0.0
X2_Full_Cons_10.0,12800,0.96828125,0.3620689655172414,30,3,147,0.2548360379734389,27812,31998.00476797001
X2_Full_Aggr_2.0,12800,0.96828125,0.3620689655172414,30,3,147,0.2548360379734389,27812,31998.00476797001
